urban,sub_district,city,postal_code,province_code
MUARA BARUH,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
MUARA HALAYUNG,BERUNTUNG BARU,BANJAR,70655,63
MUARA HUNGI,BATANG ALAI TIMUR,HULU SUNGAI TENGAH,71382,63
MUARA JAYA,AWAYAN,BALANGAN,71664,63
MUARA KINTAP,KINTAP,TANAH LAUT,70883,63
MUARA NINIAN,JUAI,BALANGAN,71665,63
MUARA ORE,HAMPANG,KOTABARU,72163,63
MUARA PAGATAN TENGAH,KUSAN HILIR,TANAH BUMBU,72273,63
MUARA PAGATAN,KUSAN HILIR,TANAH BUMBU,72273,63
MUARA PULAU,TABUKAN,BARITO KUALA,70553,63
MUARA RINTIS,BATANG ALAI UTARA,HULU SUNGAI TENGAH,71391,63
MUARA TAPUS,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
MUARA UYA,MUARA UYA,TABALONG,71573,63
MUDALANG,KUSAN HILIR,TANAH BUMBU,72273,63
MULYA MAKMUR,SATUI,TANAH BUMBU,72275,63
MULYO HARJO,PAMUKAN UTARA,KOTABARU,72169,63
MULYODADI,PAMUKAN SELATAN,KOTABARU,72168,63
MUNDAR,LABUAN AMAS SELATAN,HULU SUNGAI TENGAH,71361,63
MUNDAR,LAMPIHONG,BALANGAN,71661,63
MUNGGU RAYA,ASTAMBUL,BANJAR,70671,63
MUNGKUR UYAM,JUAI,BALANGAN,71665,63
MUNING BARU,DAHA SELATAN,HULU SUNGAI SELATAN,71252,63
MUNING DALAM,DAHA SELATAN,HULU SUNGAI SELATAN,71252,63
MUNING TENGAH,DAHA SELATAN,HULU SUNGAI SELATAN,71252,63
MUNJUNG,BATU MANDI,BALANGAN,71663,63
MURUNG A,BATU BENAWA,HULU SUNGAI TENGAH,71371,63
MURUNG ABUIN,PARINGIN SELATAN,BALANGAN,71662,63
MURUNG ASAM,SUNGAI PANDAN,HULU SUNGAI UTARA,71455,63
MURUNG B,HANTAKAN,HULU SUNGAI TENGAH,71372,63
MURUNG BARU,TANTA,TABALONG,71561,63
MURUNG ILUNG,PARINGIN,BALANGAN,71662,63
MURUNG JAMBU,PARINGIN SELATAN,BALANGAN,71662,63
MURUNG KARANGAN,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
MURUNG KARANGAN,MUARA HARUS,TABALONG,71555,63
MURUNG KENANGA,MARTAPURA KOTA,BANJAR,70617,63
MURUNG KERAMAT,BELAWANG,BARITO KUALA,70563,63
MURUNG KERATON,MARTAPURA KOTA,BANJAR,70616,63
MURUNG KUPANG,BABIRIK,HULU SUNGAI UTARA,71454,63
MURUNG PADANG,BANJANG,HULU SUNGAI UTARA,71416,63
MURUNG PANGGANG,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
MURUNG PANTI HILIR,BABIRIK,HULU SUNGAI UTARA,71454,63
MURUNG PANTI HULU,BABIRIK,HULU SUNGAI UTARA,71454,63
MURUNG RAYA,BAKUMPAI,BARITO KUALA,70513,63
MURUNG RAYA,BANJARMASIN SELATAN,BANJARMASIN,70247,63
MURUNG RAYA,DAHA UTARA,HULU SUNGAI SELATAN,71253,63
MURUNG SARI,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
MURUNG SARI,AMUNTAI TENGAH,HULU SUNGAI UTARA,71414,63
MURUNG TAAL,LABUAN AMAS SELATAN,HULU SUNGAI TENGAH,71361,63
MUSTIKA,KURANJI,TANAH BUMBU,72272,63
NALUI,JARO,TABALONG,71574,63
NAMUN,JARO,TABALONG,71574,63
NATEH,BATANG ALAI TIMUR,HULU SUNGAI TENGAH,71382,63
NAWIN,HARUAI,TABALONG,71572,63
NELAYAN,SUNGAI TABUKAN,HULU SUNGAI UTARA,71455,63
NUNGKA,AWAYAN,BALANGAN,71664,63
NUSA INDAH,BATI-BATI,TANAH LAUT,70852,63
OKA-OKA,PULAU LAUT KEPULAUAN,KOTABARU,72154,63
PAAU,ARANIO,BANJAR,70671,63
PABAHANAN,PELAIHARI,TANAH LAUT,70815,63
PABAUNGAN HILIR,CANDI LARAS SELATAN,TAPIN,71162,63
